state,incidents,code,latitude,longitude,PERPETRATOR GROUP,WEAPON TYPE,Target Type,Attack Type,,,
Alabama,21,AL,32.318231,-86.902298,Multiple Unassociated Groups,Explosives,Business,Bombing/Explosion,,,
Alaska,3,AK,63.588753,-154.493062,Anti-Castro Group,Explosives,Private Citizens & Property,Facility/Infrastructure Attack,,,
Arizona,45,AZ,34.048928,-111.093731,Coalition to Save the Preserves (CSP) (suspected),Incendiary,Business,Facility/Infrastructure Attack,,,
Arkansas,16,AR,35.20105,-91.831833,Anti-Abortion extremists,Incendiary,Abortion Related,Facility/Infrastructure Attack,,,
California,601,CA,36.778261,-119.417932,Multiple Unassociated Groups,Explosives,Business,Armed Assault,,,
Colorado,48,CO,39.550051,-105.782067,Multiple Unassociated Groups,Explosives,Private Citizens & Property,Bombing/Explosion,,,
Connecticut,14,CT,41.603221,-73.087749,Student Radicals,Incendiary,Business,Facility/Infrastructure Attack,,,
Delaware,3,DE,38.910832,-75.52767,Army of God,Incendiary,Abortion Related,Facility/Infrastructure Attack,,,
District of Columbia,83,DC,38.905985,-77.033418,Multiple Unassociated Groups,Explosives,Government (General),Bombing/Explosion,,,
Florida,176,FL,27.664827,-81.515754,Multiple Unassociated Groups,Explosives,Business,Bombing/Explosion,,,
Georgia,50,GA,32.157435,-82.907123,Black Nationalists,Firearms,Business,Armed Assault,,,
Hawaii,5,HI,19.898682,-155.665857,Student Radicals,Incendiary,Military,Facility/Infrastructure Attack,,,
Idaho,9,ID,44.068202,-114.742041,The Order II (Bruder Schweigen Strike Force II),Explosives,Business,Bombing/Explosion,,,
Illinois,121,IL,40.633125,-89.398528,Fuerzas Armadas de Liberacion Nacional (FALN),Explosives,Business,Bombing/Explosion,,,
Indiana,17,IN,40.551217,-85.602364,Multiple Unassociated Groups,Firearms,Private Citizens & Property,Armed Assault,,,
Iowa,26,IA,41.878003,-93.097702,Black Panthers (suspected),Explosives,Business,Bombing/Explosion,,,
Kansas,14,KS,39.011902,-98.484246,Anti-Abortion extremists,Explosives,Business,Bombing/Explosion,,,
Kentucky,10,KY,37.839333,-84.270018,White supremacists/nationalists,Firearms,Private Citizens & Property,Armed Assault,,,
Louisiana,27,LA,31.244823,-92.145024,Anti-Abortion extremists,Incendiary,Private Citizens & Property,Facility/Infrastructure Attack,,,
Maine,1,ME,45.253783,-69.445469,Left-Wing Militants,Incendiary,Military,Facility/Infrastructure Attack,,,
Maryland,35,MD,39.045755,-76.641271,Multiple Unassociated Groups,Explosives,Private Citizens & Property,Bombing/Explosion,,,
Massachusetts,65,MA,42.407211,-71.382437,Multiple Unassociated Groups,Explosives,Religious Figures/Institutions,Bombing/Explosion,,,
Michigan,47,MI,44.314844,-85.602364,Earth Liberation Front (ELF),Incendiary,Educational Institution,Facility/Infrastructure Attack,,,
Minnesota,33,MN,46.729553,-94.6859,Anti-Abortion extremists,Incendiary,Abortion Related,Facility/Infrastructure Attack,,,
Mississippi,16,MS,32.354668,-89.398528,Black Nationalists,Incendiary,Business,Facility/Infrastructure Attack,,,
Missouri,44,MO,37.964253,-91.831833,Multiple Unassociated Groups,Incendiary,Religious Figures/Institutions,Facility/Infrastructure Attack,,,
Montana,7,MT,46.879682,-110.362566,Anti-Abortion extremists,Incendiary,Abortion Related,Facility/Infrastructure Attack,,,
Nebraska,18,NE,41.492537,-99.901813,Strikers,Explosives,Utilities,Bombing/Explosion,,,
Nevada,22,NV,38.80261,-116.419389,Multiple Unassociated Groups,Incendiary,Government (General),Facility/Infrastructure Attack,,,
New Hampshire,6,NH,43.193852,-71.572395,Multiple Unassociated Groups,Incendiary,Business,Facility/Infrastructure Attack,,,
New Jersey,42,NJ,40.058324,-74.405661,Multiple Unassociated Groups,Incendiary,Business,Facility/Infrastructure Attack,,,
New Mexico,27,NM,34.97273,-105.032363,Anti-Abortion extremists,Incendiary,Abortion Related,Facility/Infrastructure Attack,,,
New York,519,NY,43.299428,-74.217933,Multiple Unassociated Groups,Explosives,Business,Bombing/Explosion,,,
North Carolina,26,NC,35.759573,-79.0193,Anti-Abortion extremists,Incendiary,Abortion Related,Facility/Infrastructure Attack,,,
North Dakota,5,ND,47.551493,-101.002012,Anti-Abortion extremists,Incendiary,Abortion Related,Facility/Infrastructure Attack,,,
Ohio,68,OH,40.417287,-82.907123,Anti-Abortion extremists,Incendiary,Abortion Related,Facility/Infrastructure Attack,,,
Oklahoma,15,OK,35.007752,-97.092877,Anti-Abortion extremists,Incendiary,Abortion Related,Facility/Infrastructure Attack,,,
Oregon,62,OR,43.804133,-120.554201,Anti-Abortion extremists,Incendiary,Business,Facility/Infrastructure Attack,,,
Pennsylvania,48,PA,41.203322,-77.194525,Multiple Unassociated Groups,Firearms,Business,Armed Assault,,,
Puerto Rico,186,PR,18.220833,-66.590149,Multiple Unassociated Groups,Explosives,Business,Bombing/Explosion,,,
Rhode Island,3,RI,41.580095,-71.477429,Animal Liberation Front (ALF),Explosives,Business,Bombing/Explosion,,,
South Carolina,9,SC,33.836081,-81.163725,Multiple Unassociated Groups,Incendiary,Religious Figures/Institutions,Facility/Infrastructure Attack,,,
South Dakota,5,SD,43.969515,-99.901813,Anti-Abortion extremists,Incendiary,Abortion Related,Facility/Infrastructure Attack,,,
Tennessee,30,TN,35.517491,-86.580447,Multiple Unassociated Groups,Incendiary,TARGET TYPE,ATTACK TYPE,,,
Texas,117,TX,31.968599,-99.901813,Multiple Unassociated Groups,Incendiary,Religious Figures/Institutions,Facility/Infrastructure Attack,,,
Utah,19,UT,39.32098,-111.093731,Animal Liberation Front (ALF),Incendiary,Religious Figures/Institutions,Facility/Infrastructure Attack,,,
Vermont,0,VT,44.558803,-72.577841,Multiple Unassociated Groups,Incendiary,Business,Facility/Infrastructure Attack,,,
Virginia,64,VA,37.431573,-78.656894,Anti-Abortion extremists,Explosives,Business,Facility/Infrastructure Attack,,,0
Washington,126,WA,47.751074,-120.740139,George Jackson Brigade,Explosives,Business,Facility/Infrastructure Attack,,,
West Virginia,6,WV,38.597626,-80.454903,Multiple Unassociated Groups,Explosives,Business,Bombing/Explosion,,,
Wisconsin,41,WI,43.78444,-88.787868,Left-Wing Militants,Explosives,Abortion Related,Bombing/Explosion,,,
Wyoming,2,WY,43.075968,-107.290284,"Animal Liberation Front (ALF),Earth Liberation Front (ELF)",Incendiary,Business,Bombing/Explosion,,,
,,,,,,,Government (General),Facility/Infrastructure Attack,,,